dataEfetiva,categoria,valorEfetivo,descricao
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,6666.6,TAXA DE ESPAÇO 
2025-07-15T00:00:00,1.1.5 Taxa de Espaço,2800.0,TAXA DE ESPAÇO 
2025-07-31T00:00:00,1.1.8 Taxa de Intermediação,17500.0,TAXA DE INTERMEDIAÇÃO 
2025-07-31T00:00:00,1.1.8 Taxa de Intermediação,32500.0,TAXA DE INTERMEDIAÇÃO 
2025-07-31T00:00:00,1.1.8 Taxa de Intermediação,50000.0,TAXA DE INTERMEDIAÇÃO 
2025-07-17T00:00:00,1.1.14 Locação de Aparelho Móvel Celular,65.0,TAXA DE LOCCEL 
2025-07-18T00:00:00,1.1.14 Locação de Aparelho Móvel Celular,65.0,TAXA DE LOCCEL 
2025-07-21T00:00:00,1.1.14 Locação de Aparelho Móvel Celular,65.0,TAXA DE LOCCEL 
2025-07-08T00:00:00,1.1.2 Taxa de Manutenção,3015.69,TAXA DE MANUTENÇÃO 
2025-07-09T00:00:00,1.1.2 Taxa de Manutenção,294.69,TAXA DE MANUTENÇÃO 
2025-07-09T00:00:00,1.1.2 Taxa de Manutenção,548.5,TAXA DE MANUTENÇÃO 
2025-07-09T00:00:00,1.1.2 Taxa de Manutenção,1575.9,TAXA DE MANUTENÇÃO 
2025-07-10T00:00:00,1.1.2 Taxa de Manutenção,2023.2,TAXA DE MANUTENÇÃO 
2025-07-10T00:00:00,1.1.2 Taxa de Manutenção,8738.0,TAXA DE MANUTENÇÃO 
2025-07-10T00:00:00,1.1.2 Taxa de Manutenção,866.0,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,448.97,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,479.6,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,854.6,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,1056.16,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,1881.5,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,2123.0,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,2364.11,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,2418.8,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,2670.74,TAXA DE MANUTENÇÃO 
